Date,CPI,TB3MS,M1,M2,AUD_USD,CAD_USD,NZD_USD,ZAR_USD
2009-02-01,212.705,0.3,1567.2,8319.3,0.6504157894736843,1.2451999999999999,0.5160157894736842,9.977331578947368
2009-03-01,212.495,0.21,1578.9,8386.4,0.6665681818181818,1.2645181818181819,0.5335727272727273,9.953554545454546
2009-04-01,212.709,0.16,1611.6,8391.1,0.7158272727272728,1.224181818181818,0.5729409090909091,8.964404545454546
2009-05-01,213.022,0.18,1617.5,8449.2,0.7647999999999999,1.1527850000000002,0.60137,8.374105
2009-06-01,214.79,0.18,1658.8,8459.3,0.8024818181818183,1.1263545454545456,0.6386409090909091,8.033231818181818
2009-07-01,214.726,0.18,1662.5,8463.5,0.8048739130434782,1.1228608695652174,0.6444304347826086,7.944582608695653
2009-08-01,215.445,0.17,1660.0,8463.0,0.8353476190476191,1.0872380952380953,0.6765857142857142,7.940633333333333
2009-09-01,215.861,0.12,1664.9,8461.6,0.8622095238095239,1.0816380952380953,0.7046428571428571,7.502528571428572
2009-10-01,216.509,0.07,1677.7,8487.9,0.9067047619047619,1.0546761904761905,0.7386095238095238,7.487109523809524
2009-11-01,217.234,0.05,1683.0,8517.0,0.9196736842105263,1.0593,0.7301421052631579,7.5096
2009-12-01,217.347,0.05,1692.8,8512.2,0.9021090909090909,1.053690909090909,0.716859090909091,7.484759090909091
2010-01-01,217.488,0.06,1674.7,8477.7,0.9127157894736841,1.0438105263157895,0.7263473684210526,7.463115789473685
2010-02-01,217.281,0.11,1699.8,8527.3,0.8857157894736843,1.0572105263157894,0.6972947368421053,7.667968421052631
2010-03-01,217.353,0.15,1711.9,8523.5,0.9122913043478261,1.0229,0.7036,7.405743478260869
2010-04-01,217.403,0.16,1699.0,8554.8,0.9261772727272728,1.005209090909091,0.7122090909090909,7.344445454545454
2010-05-01,217.29,0.16,1710.1,8609.0,0.8712949999999999,1.0402799999999999,0.698415,7.651479999999999
2010-06-01,217.199,0.12,1731.6,8628.1,0.8539181818181819,1.0376227272727272,0.6926318181818182,7.63564090909091
2010-07-01,217.605,0.16,1724.0,8639.5,0.8785571428571428,1.0422285714285715,0.7145380952380952,7.5212142857142865
2010-08-01,217.923,0.16,1748.7,8687.9,0.9003545454545455,1.0403954545454546,0.7150136363636364,7.287740909090909
2010-09-01,218.275,0.15,1766.2,8718.7,0.939847619047619,1.032957142857143,0.7288476190476191,7.109957142857143
2010-10-01,219.035,0.13,1780.4,8768.4,0.9817899999999999,1.0179,0.7520450000000001,6.908705
2010-11-01,219.59,0.14,1828.4,8789.0,0.988885,1.0129,0.772255,6.9749
2010-12-01,220.472,0.14,1837.2,8823.2,0.9929095238095238,1.0080619047619048,0.7511285714285714,6.823671428571428
2011-01-01,221.187,0.15,1850.4,8849.0,0.9961499999999999,0.9939450000000001,0.765625,6.923925
